Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
cntHardenedChestSecureBooks,blocks,Loot,New,Not Used,Book Archive,,,,,,,,,,Locked,,,
cntHardenedChestSecureBooksDesc,blocks,Loot,New,Not Used,Book Archive,,,,,,,,,,Locked,,,
ComputerStation,blocks,Block,New,Not Used,Computer Workstation,,,,,,,,,,,,,
ComputerStationDesc,blocks,Block,New,Not Used,Used to decrypt and process recovered data.,,,,,,,,,,,,,
ComputerDecrytionStation,blocks,Block,New,Not Used,Computer Decryption Station,,,,,,,,,,,,,
ComputerDecrytionStationDesc,blocks,Block,New,Not Used,Specialized hardware for decrypting whispers.,,,,,,,,,,,,,
TailorWorkstation,blocks,Block,New,Not Used,Tailor�s Workstation,,,,,,,,,,,,,
TailorWorkstationDesc,blocks,Block,New,Not Used,Craft and repair clothing and fabrics.,,,,,,,,,,,,,
EmptyFarmPlot,blocks,Block,New,Not Used,Empty Farm Plot,,,,,,,,,,,,,
EmptyFarmPlotDesc,blocks,Block,New,Not Used,A reusable frame for planting soil.,,,,,,,,,,,,,
ironShapes,blocks,Block,New,Not Used,Iron Shapes,,,,,,,,,,,,,
ironShapesDesc,blocks,Block,New,Not Used,Multi?block iron shapes set.,,,,,,,,,,,,,
stainLessSteelShapes,blocks,Block,New,Not Used,Stainless Steel Shapes,,,,,,,,,,,,,
stainLessSteelShapesDesc,blocks,Block,New,Not Used,Multi?block stainless shapes set.,,,,,,,,,,,,,
tungstenShapes,blocks,Block,New,Not Used,Tungsten Shapes,,,,,,,,,,,,,
tungstenShapesDesc,blocks,Block,New,Not Used,Multi?block tungsten shapes set.,,,,,,,,,,,,,
cntFileCabinetHarperLane1,blocks,Block,New,Not Used,Harper Lane File Cabinet,,,,,,,,,,,,,
cntFileCabinetHarperLane1Desc,blocks,Block,New,Not Used,Old cabinet with paperwork and secrets.,,,,,,,,,,,,,
cntDeskMetalWhiteHarperLane,blocks,Block,New,Not Used,Harper Lane Metal Desk,,,,,,,,,,,,,
cntDeskMetalWhiteHarperLaneDesc,blocks,Block,New,Not Used,A worn metal desk with drawers.,,,,,,,,,,,,,
cntWallSafeHarperLane,blocks,Block,New,Not Used,Harper Lane Wall Safe,,,,,,,,,,,,,
cntWallSafeHarperLaneDesc,blocks,Block,New,Not Used,Secure wall?mounted safe.,,,,,,,,,,,,,
cntHardenedChestInsecureBooks,blocks,Block,New,Not Used,Book Archive (Insecure),,,,,,,,,,,,,
cntHardenedChestInsecureBooksDesc,blocks,Block,New,Not Used,An unsecured archive chest for books.,,,,,,,,,,,,,
RunwayLamp,blocks,Block,New,Not Used,Runway Lamp,,,,,,,,,,,,,
RunwayLampDesc,blocks,Block,New,Not Used,Ground lighting for airstrips.,,,,,,,,,,,,,
RunwayLampRed,blocks,Block,New,Not Used,Runway Lamp (Red),,,,,,,,,,,,,
RunwayLampRedDesc,blocks,Block,New,Not Used,Red navigation light.,,,,,,,,,,,,,
RunwayLampBlue,blocks,Block,New,Not Used,Runway Lamp (Blue),,,,,,,,,,,,,
RunwayLampBlueDesc,blocks,Block,New,Not Used,Blue navigation light.,,,,,,,,,,,,,
RunwayLampWhite,blocks,Block,New,Not Used,Runway Lamp (White),,,,,,,,,,,,,
RunwayLampWhiteDesc,blocks,Block,New,Not Used,White navigation light.,,,,,,,,,,,,,
RunwayLampYellow,blocks,Block,New,Not Used,Runway Lamp (Yellow),,,,,,,,,,,,,
RunwayLampYellowDesc,blocks,Block,New,Not Used,Yellow navigation light.,,,,,,,,,,,,,
radioDishLarge,blocks,Block,New,Not Used,Radio Dish,,,,,,,,,,,,,
radioDishLargeDesc,blocks,Block,New,Not Used,High?gain dish for signal work.,,,,,,,,,,,,,
ctnHelicopterWhiteBasic,blocks,Block,New,Not Used,Helicopter (White),,,,,,,,,,,,,
ctnHelicopterWhiteBasicDesc,blocks,Block,New,Not Used,Static helicopter prop.,,,,,,,,,,,,,
ctnHelicopterBlueBasic,blocks,Block,New,Not Used,Helicopter (Blue),,,,,,,,,,,,,
ctnHelicopterBlueBasicDesc,blocks,Block,New,Not Used,Static helicopter prop.,,,,,,,,,,,,,
BaggageTractor,blocks,Block,New,Not Used,Baggage Tractor,,,,,,,,,,,,,
BaggageTractorDesc,blocks,Block,New,Not Used,Airport service vehicle.,,,,,,,,,,,,,
BaggageTractorCart,blocks,Block,New,Not Used,Baggage Tractor Cart,,,,,,,,,,,,,
BaggageTractorCartDesc,blocks,Block,New,Not Used,Airport trolley cart.,,,,,,,,,,,,,
ApronBus,blocks,Block,New,Not Used,Apron Bus,,,,,,,,,,,,,
ApronBusDesc,blocks,Block,New,Not Used,Airside passenger bus.,,,,,,,,,,,,,
Cessna182,blocks,Block,New,Not Used,Cessna 182,,,,,,,,,,,,,
Cessna182Desc,blocks,Block,New,Not Used,Static aircraft prop.,,,,,,,,,,,,,
CivilAircraft,blocks,Block,New,Not Used,Civil Aircraft,,,,,,,,,,,,,
CivilAircraftDesc,blocks,Block,New,Not Used,Static aircraft prop.,,,,,,,,,,,,,
Learjet45,blocks,Block,New,Not Used,Learjet 45,,,,,,,,,,,,,
Learjet45Desc,blocks,Block,New,Not Used,Static aircraft prop.,,,,,,,,,,,,,
