Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
resourceWoodRepairParts,items,,New,Not Used,Wood Planks and nails for upgrading frames.,,,,,,,,,,,,,
CarBatteryDead,items,,New,Not Used,Dead Car Battery,,,,,,,,,,,,,
smallEngineBroken,items,,New,Not Used,Broken Small Engine,,,,,,,,,,,,,
Waterpump,items,,New,Not Used,Water Pump,,,,,,,,,,,,,
StarterMotor,items,,New,Not Used,Starter Motor,,,,,,,,,,,,,
Alternator,items,,New,Not Used,Alternator,,,,,,,,,,,,,
foodGrub,items,,New,Not Used,Grub,,,,,,,,,,,,,
foodWildSeeds,items,,New,Not Used,Wild Seeds,,,,,,,,,,,,,
foodCookedGrub,items,,New,Not Used,Cooked Grub,,,,,,,,,,,,,
foodBread,items,,New,Not Used,Bread,,,,,,,,,,,,,
foodFries,items,,New,Not Used,French Fries,,,,,,,,,,,,,
foodPancakes,items,,New,Not Used,Pancakes,,,,,,,,,,,,,
foodCornOil,items,,New,Not Used,Corn Oil,,,,,,,,,,,,,
foodMapleSyrup,items,,New,Not Used,Maple Syrup,,,,,,,,,,,,,
foodBoneBroth,items,,New,Not Used,Bone Broth,,,,,,,,,,,,,
diceD20,items,,New,Not Used,20 sided dice,,,,,,,,,,,,,
AutoTurretProgram,items,,New,Not Used,Auto Turret Firmware,,,,,,,,,,,,,
BladeTrapProgram,items,,New,Not Used,Blade Trap Firmware,,,,,,,,,,,,,
CandyMineProgram,items,,New,Not Used,Can dymine Firmware,,,,,,,,,,,,,
CookingPotMineProgram,items,,New,Not Used,Cooking Potmine Firmware,,,,,,,,,,,,,
DroneMedicProgram,items,,New,Not Used,Drone Medic Software Upgrade,,,,,,,,,,,,,
DroneProgram,items,,New,Not Used,Drone Firmware,,,,,,,,,,,,,
FlameThrowerTrapProgram,items,,New,Not Used,Flaem Thrower Firmware,,,,,,,,,,,,,
HamRadioProgram,items,,New,Not Used,Ham Radio Firmware,,,,,,,,,,,,,
